,shy,tip,vti,ive,iwn,iws,efa,eem
2006-05-26,0.21122154818489625,0.21719925022630254,0.12636900688505326,0.13268463949159548,0.045671896964877126,0.04243375130214533,0.1523429217379303,0.07207698520719984
2006-05-30,0.21365667914115918,0.2193201741715404,0.12561492590239845,0.1322896267563678,0.04498083663695973,0.0424111844340766,0.15190197740532949,0.06982459555216848
2006-05-31,0.21226010341350723,0.21775858881595364,0.12634573144831146,0.13277610298969922,0.045493124684262407,0.04265412838050073,0.1521338650914664,0.07057835517629889
2006-06-01,0.21097127386304088,0.2162980431103517,0.12702659697869495,0.1333314829691255,0.04607505616665646,0.04282666682488356,0.151984454295647,0.07148642579160004
2006-06-02,0.210173966954804,0.21682956657957297,0.1266133577785828,0.13322509580560832,0.04586320407058357,0.04277958546453474,0.1526537591821753,0.07186146416413841
2006-06-05,0.2128541716589785,0.21924249695814765,0.12616580975390768,0.13278910107670003,0.045194136958242155,0.042638030726940744,0.1513812617703045,0.06973499109677875
2006-06-06,0.21372815873362183,0.21982814343263807,0.12610978990321328,0.13282466712545568,0.04518696514084452,0.042656443452447186,0.15015154016526278,0.0695142920465167
2006-06-07,0.2150182461881806,0.2205335561574842,0.12613483245807344,0.13290009878336784,0.045162456202053065,0.042724540506382934,0.1490833962266671,0.06844287347779081
2006-06-08,0.21619928490869308,0.2216351516630753,0.1265429256280205,0.13336482378872191,0.0455388688297044,0.04279682070732277,0.14641247707919247,0.06750964739526952
2006-06-09,0.2165318170802034,0.22287367800798022,0.12624930202163728,0.13309876400891815,0.04513908894916358,0.042896636711432026,0.1464956632321622,0.06671504998850329
2006-06-12,0.2184619931395588,0.22480195769158123,0.12570920632597202,0.13254213159139927,0.044578855428705835,0.04257027706873626,0.14651206666170466,0.06482351209234194
2006-06-13,0.22068660862995054,0.22730078589960326,0.1254907286409044,0.13237864241593392,0.04432458668360634,0.042397821110693686,0.14339310825477408,0.0640277183645337
2006-06-14,0.2194752777984089,0.22542812804666487,0.12572947246526156,0.13205750587744414,0.04458766268941409,0.0423339345815626,0.14482439186164053,0.06556362667960332
2006-06-15,0.21576573875888816,0.22119039013107042,0.12649366308901705,0.1330869422235738,0.045289194418376255,0.04261402307583441,0.1473205975251082,0.06823945077813161
2006-06-16,0.2164316063816197,0.2220874773259239,0.1263049154482491,0.13285525000051787,0.04483248812291874,0.042690657131626376,0.14669387380494334,0.0681037317842009
2006-06-19,0.2180319703912462,0.22329715240860462,0.12598482923514,0.13269855316154824,0.044345359660541,0.04250410598889503,0.1470757719945449,0.06606225715948005
2006-06-20,0.21764074437808886,0.22272428162788144,0.12582369252672534,0.13263773164766324,0.04417019021588637,0.04250243257950453,0.14772008481922855,0.06678084220502163
2006-06-21,0.2159355939387335,0.22103156614508712,0.12617297377818418,0.13290617542993916,0.044649483931880445,0.04254232114081802,0.1483940072474079,0.06836787838794971
2006-06-22,0.21675928772399952,0.22150815442082594,0.1260502748171421,0.13279166564512376,0.04461339803953236,0.04256992879799039,0.1482759610781188,0.06743132947726711
2006-06-23,0.21673893475815215,0.2212603358451048,0.12626142582751598,0.13297506617514304,0.044774429656002965,0.042771554034437866,0.14787695344006674,0.06734130026357635
2006-06-26,0.2161125229494563,0.22035727630080063,0.12648348296669845,0.133267893705448,0.045224623208425234,0.04282326047505468,0.1485939208210051,0.06713701957311162
2006-06-27,0.21779445227956315,0.22226297960995314,0.12618105036020105,0.13294205653051425,0.04479341113450778,0.042817174467532755,0.14686581730165923,0.06634305831606854
2006-06-28,0.2164781212761546,0.22055318875116536,0.12637623938773995,0.1331592514928464,0.04478015372595533,0.042900897362441,0.14771348898631556,0.06803865901738174
2006-06-29,0.21277217162102022,0.2177143649872281,0.12669749667844768,0.13336890563666856,0.04555165744116145,0.04287399300143034,0.1502985598801157,0.07072285075392803
2006-06-30,0.21218175898134373,0.21805572346474592,0.12617358198529147,0.13295331605179314,0.04574090071417491,0.04276763517184709,0.15159578656816583,0.0705312970626381
2006-07-03,0.2112022001630848,0.21665645618565124,0.1265617096331794,0.13332158167450328,0.0459381756900239,0.04283051710163039,0.15172105279117704,0.0717683067607499
2006-07-05,0.21290041720635808,0.21776284117323877,0.12667762236260818,0.1337113946970105,0.045763528710928494,0.04282791969231704,0.15018707407610354,0.07016920208143544
2006-07-06,0.21203905541731047,0.21743265947981036,0.12646649986355565,0.1333415639058908,0.0457020059629781,0.04275112828409426,0.15100868957175462,0.07125839751460568
2006-07-07,0.21300477976377385,0.21892131928774222,0.1258998274369726,0.1331027742902983,0.04528736120000485,0.042725672156555046,0.15088959755666556,0.07016866830798757
2006-07-10,0.2125358005132968,0.2184677227348771,0.12575949854244495,0.1328317316477736,0.0452940245500078,0.04273164980238019,0.15181132742442086,0.07056824478479877
2006-07-11,0.21197938128554591,0.21803744847608408,0.12588529437804866,0.13320853392112939,0.04559275347593594,0.04273065175486285,0.15183077346056634,0.07073516324782678
2006-07-12,0.21381655367312263,0.21980405890177623,0.12556834826398205,0.13304347642019335,0.045098120244123525,0.04272475178093496,0.15022266768650702,0.06972202302936024
2006-07-13,0.2162334604543389,0.22289998178757295,0.12496547686215832,0.13213484039125536,0.04454718872703911,0.04249201497748245,0.14908612373356067,0.0676409130665924
2006-07-14,0.21686408959942713,0.2236627671461756,0.12456844874392389,0.13173884268916464,0.04441789084480452,0.042338083119477156,0.14822224632645153,0.06818763153057548
2006-07-17,0.21755661582731026,0.2245833118766678,0.12477429689984038,0.1319984521998468,0.04465308057458271,0.04249072152691125,0.14660940766007244,0.06733411343476828
2006-07-18,0.21720265595123844,0.2232470995425771,0.12507972405492646,0.13246245317690863,0.04499612019033108,0.042565464158951016,0.14624802909987147,0.06819845382519578
2006-07-19,0.21417345366458962,0.22121847205307446,0.12517723668690622,0.13275228779336756,0.045232041921171355,0.04258241435481397,0.14756026330902738,0.07130383021704935
2006-07-20,0.21567968873844795,0.22317743261275627,0.1246269555337256,0.13253469185541014,0.04440882565812744,0.0423321972561517,0.14758995039925246,0.06965025794612843
2006-07-21,0.21671840270355605,0.22365222466509024,0.12426601803843867,0.13195810938005503,0.04410209659024747,0.042310961197744336,0.14834310353852342,0.06864908388634476
2006-07-24,0.2140247387205509,0.22067277728734397,0.12510263796232285,0.13288101126289614,0.04485649815093685,0.04247683316453383,0.14915631139564547,0.07082919205577
2006-07-25,0.2135113373145911,0.22063313831501052,0.1252494535104445,0.13346002636694196,0.04487532640525723,0.04257632468259422,0.14881312045273346,0.07088127295242708
2006-07-26,0.21331220149739744,0.22088248519544204,0.12531391048320997,0.13327433941438074,0.04475464236140404,0.042526432507666086,0.14951378084114916,0.07042220769935055
